Station ID,Group,Plot Size (m2),Collection Date (mm/dd/yyyy),Community,Sample Type,Vegetation Type,% Cover Total,% Cover Tree,% Cover Shrub,% Cover Herb,% Cover Carpet,Average Height Dominant (cm),Average Height Tree (cm),Average Height Shrub (cm),Average Height Herb (cm),Average Height Carpet (cm),Scientific Name As Originally Observed,Common Name As Originally Observed,Scientific Name As Currently Recognized,Common Name As Currently Recognized,% Cover,Braun-Blanquet Rank,In/Out,Number Planted,Number Alive,Additional Species Description,Organization,Personnel,Comments,Latitude,Longitude
CRMS0224-V17,,4.00,9/7/2006,Saline,Transect,Natural,85,,,85,,82.90,,,76.20,,Bare Ground,Bare Ground,Bare Ground,Bare Ground,15,2,Both,,,,COASTAL ESTUARY SERVICES LLC,R. Rome; J. Beadle,camera malfunction,29.50018836,-89.91822868
CRMS0224-V17,,4.00,9/7/2006,Saline,Transect,Natural,85,,,85,,82.90,,,76.20,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,80,5,Both,,,,COASTAL ESTUARY SERVICES LLC,R. Rome; J. Beadle,camera malfunction,29.50018836,-89.91822868
CRMS0224-V17,,4.00,9/7/2006,Saline,Transect,Natural,85,,,85,,82.90,,,76.20,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,5,1,Both,,,,COASTAL ESTUARY SERVICES LLC,R. Rome; J. Beadle,camera malfunction,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/29/2007,Saline,Transect,Natural,85,,,85,,104.90,,,109.70,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,80,5,Both,,,,COASTAL ESTUARY SERVICES LLC,S. Weber; A. Kerisit,Open Water. snails attatched to grasses.; Water Level is 0.60ft. Above Marsh,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/29/2007,Saline,Transect,Natural,85,,,85,,104.90,,,109.70,,Distichlis spicata (L.) Greene,Seashore Saltgrass,Distichlis spicata (L.) Greene,Seashore Saltgrass,,,Out,,,,COASTAL ESTUARY SERVICES LLC,S. Weber; A. Kerisit,Open Water. snails attatched to grasses.; Water Level is 0.60ft. Above Marsh,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/29/2007,Saline,Transect,Natural,85,,,85,,104.90,,,109.70,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,10,2,Both,,,,COASTAL ESTUARY SERVICES LLC,S. Weber; A. Kerisit,Open Water. snails attatched to grasses.; Water Level is 0.60ft. Above Marsh,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/6/2008,Saline,Transect,Natural,80,,,80,,110.94,,,100.58,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,65,4,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; C. Cheramie,Water Level is Below Marsh. Bare Ground is unvegetated surface.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/6/2008,Saline,Transect,Natural,80,,,80,,110.94,,,100.58,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,25,2,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; C. Cheramie,Water Level is Below Marsh. Bare Ground is unvegetated surface.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,7/16/2009,Saline,Transect,Natural,85,,,85,,92.04,,,76.20,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,70,4,Both,,,,COASTAL ESTUARY SERVICES LLC,Y. Rolufs; D. Plaisance,Water Level is below marsh.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,7/16/2009,Saline,Transect,Natural,85,,,85,,92.04,,,76.20,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,25,2,Both,,,,COASTAL ESTUARY SERVICES LLC,Y. Rolufs; D. Plaisance,Water Level is below marsh.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,10/7/2010,Saline,Transect,Natural,65,,,65,,152.40,,,115.82,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,65,4,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; B. Perez; H. Arnold,Open water % is truly ~50% for rooted plants.  No oil evident. Water Level is 0.2 ft above marsh. Unvegetated Surface is open water. Open water is 35%,29.50018836,-89.91822868
CRMS0224-V17,,4.00,10/7/2010,Saline,Transect,Natural,65,,,65,,152.40,,,115.82,,Distichlis spicata (L.) Greene,Seashore Saltgrass,Distichlis spicata (L.) Greene,Seashore Saltgrass,,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; B. Perez; H. Arnold,Open water % is truly ~50% for rooted plants.  No oil evident. Water Level is 0.2 ft above marsh. Unvegetated Surface is open water. Open water is 35%,29.50018836,-89.91822868
CRMS0224-V17,,4.00,10/7/2010,Saline,Transect,Natural,65,,,65,,152.40,,,115.82,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,5,1,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; B. Perez; H. Arnold,Open water % is truly ~50% for rooted plants.  No oil evident. Water Level is 0.2 ft above marsh. Unvegetated Surface is open water. Open water is 35%,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/15/2011,Saline,Transect,Natural,80,,,80,,115.82,,,100.58,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,80,5,Both,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; D. Plaisance,plot at marsh edge; partially open to lake (20% of plot is open water) Water Level is 0.3 ft above marsh.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/15/2011,Saline,Transect,Natural,80,,,80,,115.82,,,100.58,,Distichlis spicata (L.) Greene,Seashore Saltgrass,Distichlis spicata (L.) Greene,Seashore Saltgrass,,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; D. Plaisance,plot at marsh edge; partially open to lake (20% of plot is open water) Water Level is 0.3 ft above marsh.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/15/2011,Saline,Transect,Natural,80,,,80,,115.82,,,100.58,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,3,1,Both,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; D. Plaisance,plot at marsh edge; partially open to lake (20% of plot is open water) Water Level is 0.3 ft above marsh.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,7/12/2012,Saline,Transect,Natural,60,,,60,,105.46,,,115.82,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,50,3,Both,,,,COASTAL ESTUARY SERVICES LLC,D. Plaisance; A. Plaisance; K. Williams,Water Level is 0.8 ft above marsh. Open water is 20%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,7/12/2012,Saline,Transect,Natural,60,,,60,,105.46,,,115.82,,Distichlis spicata (L.) Greene,Seashore Saltgrass,Distichlis spicata (L.) Greene,Seashore Saltgrass,,,Out,,,,COASTAL ESTUARY SERVICES LLC,D. Plaisance; A. Plaisance; K. Williams,Water Level is 0.8 ft above marsh. Open water is 20%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,7/12/2012,Saline,Transect,Natural,60,,,60,,105.46,,,115.82,,Juncus roemerianus Scheele,needlegrass rush,Juncus roemerianus Scheele,needlegrass rush,15,2,Both,,,,COASTAL ESTUARY SERVICES LLC,D. Plaisance; A. Plaisance; K. Williams,Water Level is 0.8 ft above marsh. Open water is 20%. Bare ground is 20%. Dead vegetation is 0%. Flooded-Undetermined is 0%.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/22/2013,Saline,Transect,Natural,10,,,10,,118.26,,,91.44,,Spartina alterniflora Loisel.,smooth cordgrass,Spartina alterniflora Loisel.,smooth cordgrass,10,2,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; M. Reeves; A. Kattenbraker,Water Level is 0.9 ft above marsh. Open water is 90%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 0%.,29.50018836,-89.91822868
CRMS0224-V17,,4.00,8/22/2013,Saline,Transect,Natural,10,,,10,,118.26,,,91.44,,Distichlis spicata (L.) Greene,Seashore Saltgrass,Distichlis spicata (L.) Greene,Seashore Saltgrass,,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; M. Reeves; A. Kattenbraker,Water Level is 0.9 ft above marsh. Open water is 90%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 0%.,29.50018836,-89.91822868
