Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS3166-BBG01,,8/10/2016,0 to 8,,,,,,,,,,Sagittaria lancifolia L.,491.36,774.07,,433.200,,12.370,1126.420,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850066,-90.28870460
CRMS3166-BBG01,,8/10/2016,8 to 16,,,,,,,,,,Sagittaria lancifolia L.,67.90,301.23,,436.720,,12.990,760.880,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850066,-90.28870460
CRMS3166-BBG01,,8/10/2016,16 to 24,,,,,,,,,,Sagittaria lancifolia L.,39.51,23.46,,429.050,,13.320,1093.310,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850066,-90.28870460
CRMS3166-BBG01,,8/10/2016,24 to 32,,,,,,,,,,Sagittaria lancifolia L.,39.51,362.96,,442.350,,13.140,422.150,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850066,-90.28870460
CRMS3166-BBG02,,8/10/2016,0 to 8,,,,,,,,,,Sagittaria lancifolia L.,451.85,283.95,,430.260,,8.050,992.840,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850946,-90.28869401
CRMS3166-BBG02,,8/10/2016,8 to 16,,,,,,,,,,Sagittaria lancifolia L.,62.96,119.75,,439.830,,9.870,580.780,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850946,-90.28869401
CRMS3166-BBG02,,8/10/2016,16 to 24,,,,,,,,,,Sagittaria lancifolia L.,23.46,56.79,,437.660,,13.740,867.650,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850946,-90.28869401
CRMS3166-BBG02,,8/10/2016,24 to 32,,,,,,,,,,Sagittaria lancifolia L.,7.41,159.26,,426.340,,12.710,700.140,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85850946,-90.28869401
CRMS3166-BBG03,,8/10/2016,0 to 8,,,,,,,,,,Sagittaria lancifolia L.,23.46,112.35,,447.680,,15.670,649.960,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85851827,-90.28868343
CRMS3166-BBG03,,8/10/2016,8 to 16,,,,,,,,,,Sagittaria lancifolia L.,23.46,17.28,,430.880,,13.310,1116.530,,,,,,,,,U.S. GEOL SURVEY (USGS),"Snedden, G.",TC derived from dried root material; TN derived from dried root material; TP derived from dried root material,29.85851827,-90.28868343
