"date","FCmean","FCH4mean","LEmean"
20190101,NA,NA,NA
20190102,NA,NA,NA
20190103,NA,NA,NA
20190104,NA,NA,NA
20190105,NA,NA,NA
20190106,NA,NA,NA
20190107,NA,NA,NA
20190108,NA,NA,NA
20190109,NA,NA,NA
20190110,NA,NA,NA
20190111,NA,NA,NA
20190112,NA,NA,NA
20190113,NA,NA,NA
20190114,NA,NA,NA
20190115,NA,NA,NA
20190116,NA,NA,NA
20190117,NA,NA,NA
20190118,NA,NA,NA
20190119,NA,NA,NA
20190120,NA,NA,NA
20190121,NA,NA,NA
20190122,NA,NA,NA
20190123,NA,NA,NA
20190124,NA,NA,NA
20190125,NA,NA,NA
20190126,NA,NA,NA
20190127,NA,NA,NA
20190128,NA,NA,NA
20190129,NA,NA,NA
20190130,NA,NA,NA
20190131,NA,NA,NA
20190201,NA,NA,NA
20190202,NA,NA,NA
20190203,NA,NA,NA
20190204,NA,NA,NA
20190205,NA,NA,NA
20190206,NA,NA,NA
20190207,NA,NA,NA
20190208,NA,NA,NA
20190209,NA,NA,NA
20190210,NA,NA,NA
20190211,NA,NA,NA
20190212,NA,NA,NA
20190213,NA,NA,NA
20190214,NA,NA,NA
20190215,NA,NA,NA
20190216,NA,NA,NA
20190217,NA,NA,NA
20190218,NA,NA,NA
20190219,NA,NA,NA
20190220,NA,NA,NA
20190221,NA,NA,NA
20190222,NA,NA,NA
20190223,NA,NA,NA
20190224,NA,NA,NA
20190225,NA,NA,NA
20190226,NA,NA,NA
20190227,NA,NA,NA
20190228,NA,NA,NA
20190301,NA,NA,NA
20190302,NA,NA,NA
20190303,NA,NA,NA
20190304,NA,NA,NA
20190305,NA,NA,NA
20190306,NA,NA,NA
20190307,NA,NA,NA
20190308,NA,NA,NA
20190309,NA,NA,NA
20190310,NA,NA,NA
20190311,NA,NA,NA
20190312,NA,NA,NA
20190313,NA,NA,NA
20190314,NA,NA,NA
20190315,NA,NA,NA
20190316,NA,NA,NA
20190317,NA,NA,NA
20190318,NA,NA,NA
20190319,NA,NA,NA
20190320,NA,NA,NA
20190321,NA,NA,NA
20190322,NA,NA,NA
20190323,NA,NA,NA
20190324,NA,NA,NA
20190325,NA,NA,NA
20190326,NA,NA,NA
20190327,NA,NA,NA
20190328,NA,NA,NA
20190329,NA,NA,NA
20190330,NA,NA,NA
20190331,NA,NA,NA
20190401,NA,NA,NA
20190402,NA,NA,NA
20190403,NA,NA,NA
20190404,NA,NA,NA
20190405,NA,NA,NA
20190406,NA,NA,NA
20190407,NA,NA,NA
20190408,NA,NA,NA
20190409,NA,NA,NA
20190410,NA,NA,NA
20190411,NA,NA,NA
20190412,NA,NA,NA
20190413,NA,NA,NA
20190414,NA,NA,NA
20190415,NA,NA,NA
20190416,NA,NA,NA
20190417,NA,NA,NA
20190418,NA,NA,NA
20190419,NA,NA,NA
20190420,NA,NA,NA
20190421,NA,NA,NA
20190422,NA,NA,NA
20190423,NA,NA,NA
20190424,NA,NA,NA
20190425,NA,NA,NA
20190426,NA,NA,NA
20190427,NA,NA,NA
20190428,NA,NA,NA
20190429,NA,NA,NA
20190430,NA,NA,NA
20190501,NA,NA,NA
20190502,NA,NA,NA
20190503,NA,NA,NA
20190504,NA,NA,NA
20190505,NA,NA,NA
20190506,NA,NA,NA
20190507,NA,NA,NA
20190508,NA,NA,NA
20190509,NA,NA,NA
20190510,NA,NA,NA
20190511,NA,NA,NA
20190512,NA,NA,NA
20190513,NA,NA,NA
20190514,NA,NA,NA
20190515,NA,NA,NA
20190516,NA,NA,NA
20190517,NA,NA,NA
20190518,NA,NA,NA
20190519,NA,NA,NA
20190520,NA,NA,NA
20190521,NA,NA,NA
20190522,NA,NA,NA
20190523,NA,NA,NA
